link the html-file to the css-file;"<link rel=""stylesheet"" href=""css/style.css"">";css
comment in css;/* comment */;css
syntax of the css statement / rule;"p {
    color: red;                                 /* (p => selector, color:red; => declaration) */
}                                               /* color => property, red => value) */";css
set rule with 2 declerations for p red and bold;"p {
    color: red;
    font_weight: bold;
}";css
Cascade Rules (but Specificity overrules - see below);"p {                                             /* cascading rules (from top to bottom, step by step) */
    color: red;                                 /* output is blue+bold */
    font_weight: bold;
}
p {
    color: blue;
}";css
Define red color for element;"color: red;";css
Define color with hex code;"color: #FF0000;";css
Defome color with rgb code (4th parameter is opaque - 0.5. means half transparent, 1 no transparent);"color: rgba(255,0,0,1);";css
define color per hsla value;"color: hsla(0, 100%, 50%,1);";css
Font bold;"font_weight: bold;";css
Define when a font is downloaded from eg. google fonts;"font_weight: 700;";css
Define font size with 25 pixel;"font-size: 25px;";css
Font italic / cursive;"font-style: italic;";css
Defines line-height as 1.5 of the normal height;"line-height: 1.5;";css
Define text decoration a red underline;"text-decoration: underline red;";css
Define text with line-through;"text-decoration: line-through;";css
Center text / or list-entries in ul;"text-align: center;";css
Display text as blocktext (left and right in a line);"text-align: justify;";css
Make text uppercased;"text-transform: uppercase;";css
Define background color;"background-color: #e2b007;";css
"Define border of element (width, style, color) - ""shorthand""-method";"border: 3px solid #FFA500;";css
"Define border of element (width, style, color) - ""shorthand""-method";"border: thin solid red;";css
"Define only the bottom-border - ""longhand""-method";"border-bottom: 6px dashed #FFA500;";css
"Define only the bottom-border-width - ""longhand""-method";"border-bottom-width: 12px;";css
"Define a border radius with 5 pixel - ""shorthand""-method";"border-radius: 5px;";css
"Define the border radius for top right corner  - ""longhand""-method";"border-top-right-radius: 5px;";css
Define border color with red;"border-color: red;";css
Define border width with 1px/2px (clockwise => up-rigth-down-left);"border-width: 1px 2px 1px 2px;";css
Define border style;"border-style: solid;";css
Height of the box;"height: 100px;";css
"Margin of the box (outside the border, for all 4 sites) - ""shorthand""-setting";"margin: 20px;";css
Margin of the box (10 pixel for top/bottom and 20 pixel for left/right);"margin: 10px 20px;";css
Margin of the box (clockwise from tom) => 10px top, 20px right, 0px bottom, 115px left;"margin: 10px 20px 0 15px;";css
Margin of the box => will do this clockwise for top+right and bottom-left => 100px for top+bottom, 0 for right+left;"margin: 100px 0;";css
Set the margin automatc - wg. when the width is set to a percentage;"margin: auto;";css
Center the content horizontal;"margin: 0 auto;";css
"Setting the margin to 10 pixel - ""longhand""-method";margin-top: 10px;css
Padding on all sides;"padding: 20px;";css
Padding only on the bottom side (values are going clockwise starting at the top);"padding: 0 0 20px 0;";css
Padding on the left and right - no padding at top and bottom;"padding: 0 10px;";css
"Setting the padding to 6 pixel - ""longhand""-method";padding-left: 6px;css
Define width in percent (relative to the width of the parent element);"width: 50%;";css
Define width (calculated on elements font size - when font-size=14px - the width would be 70px (5*14);"width: 5em;";css
Define width (and reserve additional 10px for eg. the margin of each element);width: calc(33.3% - 20px);css
Define height of element;"height: 200px;";css
Resize something eg. img;"max-width:20%;";css
Prevents the eg. image from getting bigger than its original size;"max-width:100%;";css
Resize something eg. img;"max-height:20%;";css
no bullets in unordered list (using at ul-element);"list-style-type: none;";css
disc (for Bullet), circle, square, decimal, lower-alpha,;list-style-type: xyz;css
hide element;"disply: none;";css
show element in line - eg. horizontal li-elements - or wrap border only around a paragraph p (and not the whole block);"display: inline;";css
show element as a block (max width of the window) - eg. wrap border around a span element over the whole window (and not only the span);"display: block;";css
show elements in the block in a line - eg. all p-elements in a div-element;"display: inline-block;";css
show elements in the block in the flex system;"display: flex;";css
Define floating for an image (text will float her on the right side of the image);"float: left;";css
Clear floating (for left and right);"clear: both;";css
Change the background fading in for 5 seconds	(eg. going from white to dark blue);"transistion: background 5s;";css
Static element - is not positioned in any way (position tags top-bottom-left-rigth will have no effect);"position: static;";css
With the position tags (top, botom, left, right) the element is shifted away from its normal position;"position: relative;";css
Element stays according the position tags - but will not change the place even if the windows is scrolled;"position: fixed;";css
Default-value - we can see the content when it overflows;"overflow: visible;";css
Hides the overflow (can not see the text which is outside the box);"overflow: hidden;";css
Shows a scrollbar when the content is overflowing;"overflow: auto;";css
Can overlap other elements - element with the highest z-index in front;"z-index: 2;";css
Make a picture darker;"filter: brightness(40%);";css
Make cursor a pointer when going over the element;"cursor: pointer;";css
Disable highlighting of text selection;"user-select: none;";css
Make copyright-sign;&copy;css
center an unordered list;"ul {
   text-align: center;					# center the whole ul in the block
}
ul li {
   display: inline-block;				# arrange list elements vertically
   list-style-type: none;			   	# not dots for the list elements
}";css
show sepeartor between unordered list;"li + li:before{
    content: "" | "";
    padding: 0 3px;
}";css
resize a block element and center it;"(if using only ""width"" => when the window is to small - the browser resolves this with a horizontal scrollbar)
(so its better to use ""max-width"" => this reduces the width when the windows is / becomes to small)
    max-width: 600px;
    margin: 0 auto;";css
let a image float right - and let the text float around it in the left and bottom area around the picture;"img {
  float: right;
  margin: 0 0 1em 1em;
}";css
when floating and the image is bigger then the element use this so the element is adjusted to the image heigth;".clearfix {
  overflow: auto;
}";css
nav menue on the left side - with several section beside the nav in the right area;"(with a percentage parameter - better then fixed px-amounts especially when using smaller windows)
nav {
  float: left;
  width: 25%;}
section {
  margin-left: 25%;
}";css
show all elements in a div-block flexible as inline;"div {
    display: inline-block;
    width: 300px;
    height: 100px;
    margin: 1em;
}";css
size div automatically according to the content;height: fit-content;css
styling link based on state;"a:link {...}		=> format link when not allready clicked
a:visited {...}		=> format link when allready clicked
a:hover {...}		=> format link when hovered over with the mouse";css
center the whole site in the middle;"body {
	width: 75%;						# space which can be taken by the body
	margin: 0 auto;}				# rest of the space (=25%) will be splitted left and right";css
make media scalable;"img, video, canvas {
	max-width: 100%;}";css
show different images depending on browser width;"<picture>
  <source srcset=""img_smallflower.jpg"" media=""(max-width: 600px)"">
  <source srcset=""img_flowers.jpg"" media=""(max-width: 1500px)"">
  <source srcset=""flowers.jpg"">
  <img src=""img_flowers.jpg"" alt=""Flowers"" style=""width:auto;"">
</picture>";css
define variable at the very beginning:;":root {
  --primary-color: #047aed
}";css
use the variable somewhere in the css:;"background-color: var(--primary-color);";css
no border when entering an input field;"input:focus {
  outline: none;
}";css
button attention (makes button during hovering a little bit smaller);"transform: scale(0.98);";css
button / picture attention (shift button / pic up for 15px when hoovered);"transform: translateY(-15px);}				# shift up element for 15px when hoovered
transition: 1.5s ease;						# make smooth transisition (with ease => slow - than fast - than slow again)";css
make a obliquely line;".element::before					# define area before the element
.element::after						# define area after the element
	height: 100px;					# define heigth for the element
	transform (skeyY(-3deg);		# make it oblique before / after the element";css
taken from google fonts for example (take fonts and then create link in upper right corner for the link;"<head>                     # define in html in the header
    <link href=""https://fonts.googleapis.com/css2?familiy=Source+Sans+Pro:wght@300;400;700&display=swap"" rel=""stylessheet"">
</head>";css
Helvetica and sans-serif are the fallback fonts when Source Sans Pro is not loading;"p {
    font-family: ""Source Sans Pro"", ""Helvetica"", sans-serif;
	font-weight: 700;				# how thick / bold the font is
}";css
Using icons directly from https://fontawesome.com/;"<head>      # Definition in the head
	<script src=""https://kit.fontawesome.com/bf5e040b82.js""
        crossorigin=""anonymous""></script>
</head>
<i class=""fas fa-search"">		# use icon in css (change size, color)";css
