Import python module;import math;python
Import specific function of a module;from math import ceil;python
Import a module with abbreviation;import numpy as np;python
When directly called - programm is running from here;if __name__ == '__main__':;python
Check which python version is installed;python --version;python
Use modules / functions from other folder;"import sys, os
sys.path.append(os.path.join('C:/', 'Users\path_to_module'))	# Create Path to module
import RapidTechTools as rtt        # Import Module RapidTechTools";python
Install virtualenv;pip install virtualenv;python
Global packages installed;pip list;python
Shows where the python-file is (Windows);where python;python
Shows where the python-file is (Linux);which python;python
Create new virtual environment pj1_env;virtualenv env OR python -m virtualenv env;python
Activate environment;"venv\Scripts\activate
    when activated: pip list    #  Now only shows the installed modules for the virtual environment
    pip install package         #  Only installs in the activated virtual environment";python
Extracts all the modules / dependencies to a txt-file;pip freeze --local > requirements.txt;python
Go back to the global environment;deactivate;python
Create new virtual env with specific python-version;virtualenv -p C:\..path to..\Python37\python.exe py37_env;python
Activate new virtual env named py37_env;py37_env\Scripts\activate;python
Shows the used python version in the virtual env;python --version;python
Install all the packages from requirements.txt;pip install -r requirements.txt;python
install virtual environment with specific python-version;"download and install the python-version - Important: remember the path to the python.exe
create a venv with: virtualenv envName -p path\to\new_python.exe";python
install module;pip install moduleXY;python
upgrade module;pip install moduleXY --upgrade;python
uninstall module XY;pip uninstall module XY;python
show installed modules in actual environment;pip list;python
output modules in requirements.txt;pip freeze > requirements.txt;python
install modules from requirements.txt;pip install -r requirements.txt;python
"Comment / Uncomment selected lines (""/"" on numblock) (commenting in VS Code)";Ctrl K Ctrl C;python
"Comment / Uncomment selected lines (""/"" on numblock) (commenting in VS Code)";Ctrl K Ctrl U;python
Find in File;Ctrl F;python
Search in all files;Ctrl Shift f;python
Replace in File;Ctrl H;python
Replace in Path (in all Files);Ctrl Shift H;python
Jump to the next error;F8;python
Jump to the next error (backwards);Shift + F8;python
Find next;F3;python
Goto line;Ctrl G;python
Copy / Duplicate lines;Shift Alt Up/Down;python
Move line;Alt Up/Down;python
Recent opened files;Ctrl E1;python
Switch windows in IDE;Ctrl K Left/Right;python
Suggestions for fix error, function informations;Alt Enter;python
Open the project windows (on the left side);Alt 1;python
Show usage of the variable, function, class;Alt F7;python
Focus back on the editor window;Esc;python
Collapse everything;Ctrl K Ctrl 0;python
Exapnds everything;Ctrl K Ctrl J;python
"Collapse block (""-"" on numblock)";Ctrl K Ctrl L;python
"Expand block (""+"" on numblock)";Ctrl K Ctrl L;python
Select whole file;Ctrl A;python
Undo (backwards) / Redo (forwards);Ctrl (Shift) Z;python
Select word to the beginning;Ctrl Shift Left;python
Select word to the end;Ctrl Shift Right;python
Go one word left;Ctrl Left / Right;python
Delete current line;Ctrl Shift K;python
Delete to end of word;Ctrl Del;python
Delete to beginning of word;Ctrl Background;python
Hide/Show sidebar;Ctrl B;python
